"","site_code","Date","mean_Salinity","sd_Salinity","SE_Salinity","mean_DOX","sd_DOX","SE_DOX","mean_TURB","sd_TURB","SE_TURB","mean_CPHL","sd_CPHL","SE_CPHL","mean_CNDC","sd_CNDC","SE_CNDC","mean_DESC","sd_DESC","SE_DESC","mean_TEMP","sd_TEMP","SE_TEMP"
"37","NRSNSI",2018-01-23,35.5976166666667,0.00231371494271862,0.000298699314700682,5358.97503333333,556.824561085856,71.8857417281592,0.217276666666667,0.00794965869999006,0.00102629652510315,0.19315,0.0219729224736697,0.00283669209360098,5.53194,0.00921110604521895,0.00118914867710945,0.630833333333333,0.132405664104696,0.0170934977340341,26.3515266666667,0.0870780165814049,0.0112417236013518
"38","NRSNSI",2018-03-02,35.2176,0.0409832261734752,0.00748247915151617,5505.18939,539.859029584271,98.5643227920513,0.213513333333333,0.00389789804835918,0.000711655562647228,0.136176666666667,0.0040875490787591,0.000746280945115274,5.60661666666667,0.0353449414351966,0.00645307390591873,0.6781,0.184567406619389,0.0336972439952226,27.5505533333333,0.389994993542873,0.0712030184258377
"39","NRSNSI",2018-03-20,35.29976,0.0306897669118462,0.00560315920739794,5390.93941666667,547.963497384312,100.04398940227,0.227523333333333,0.081443810473036,0.0148695373884191,0.16974,0.0373170904731238,0.00681313741086369,5.51783333333333,0.0189526148379426,0.00346025822348275,0.5823,0.131455027054621,0.0240002945384225,26.6062333333333,0.221861002359171,0.0405060918742749
"40","NRSNSI",2018-04-17,35.2250666666667,0.0622323418152979,0.0113620191395369,5327.21963,526.889856245046,96.1964865286887,0.24366,0.0436076756925928,0.00796163588573426,0.12918,0.0143608279465477,0.00262191647025825,5.45102666666667,0.0272149418053991,0.00496874584266916,0.581933333333333,0.130460968752405,0.023818805153223,26.0726266666667,0.34085787606884,0.0622318492087347
"41","NRSNSI",2018-05-30,35.44332,0.000695998414584073,0.000127071343885176,5050.61729666667,544.227676981661,99.3619250338303,0.30202,0.0313482265901092,0.00572337694706202,0.189953333333333,0.0115597021001269,0.00211050319942645,5.23481333333333,0.000387506025166358,7.07485970509263e-05,0.603833333333333,0.161237046169518,0.029437722430849,23.73971,0.00495102566872903,0.000903929480516663
"42","NRSNSI",2018-07-18,35.54119,0.00657646535395128,0.0012006928076701,4589.46240333333,469.543363479294,85.7264973014856,0.61037,0.15273609683327,0.0278856685269585,0.347653333333333,0.030369287268479,0.00554464789743347,4.9455,0.0173191542359399,0.00316203048397847,0.6138,0.112644818666523,0.0205660360565778,20.84339,0.17723673502234,0.0323588525967673
"43","NRSNSI",2018-08-17,35.6455766666667,0.00566889172002271,0.00103499329037023,4577.92999666667,473.708653804206,86.4869717913231,0.623033333333333,0.108738348827574,0.0198528155062425,0.316316666666667,0.0352474120677145,0.00643526756105568,4.95049333333333,0.0159820143163869,0.00291790325181854,0.553533333333333,0.117064595588205,0.0213729732296265,20.76686,0.150971775393672,0.0275635489765724
"44","NRSNSI",2018-09-13,35.6136103448276,0.0138828091236086,0.00257797293505596,4643.66914827586,455.332603804918,84.5531418465919,0.244337931034483,0.0305204195556388,0.00566749963068985,0.18848275862069,0.0093905373711107,0.00174377901279264,4.97530689655172,0.0198864622120262,0.00369282332560736,0.604241379310345,0.108382805427407,0.02012618170642,21.0442068965517,0.211407754167551,0.0392574344033943
"45","NRSNSI",2018-10-23,35.4434933333333,0.03555827594957,0.00649202328119097,4979.29542,449.428867940959,82.0541096550912,0.225463333333333,0.0650385905779624,0.011874367722631,0.187176666666667,0.0805153773418826,0.0147000294653965,5.19218,0.0673761259262328,0.0123011413357021,0.5665,0.133434925376922,0.024361772862653,23.3315933333333,0.647213909601462,0.11816455260661
"46","NRSNSI",2018-11-15,35.5994233333333,0.0265463119502667,0.00484667129124334,4845.49315666667,304.597755290386,55.6116871793276,0.559273333333333,0.617099150885,0.112666375052333,0.31549,0.143091644976459,0.0261248405813758,5.12998,0.171183725459136,0.0312537293039134,0.611433333333333,0.130935278387594,0.0239054018487013,22.5392766666667,1.6745499258799,0.305729589357675
"47","NRSNSI",2019-03-22,35.3263733333333,0.100950110359569,0.0184308842088573,NA,NA,NA,0.503236666666667,0.207068115535117,0.0378052926062231,0.3619,0.082603861477745,0.015081332756131,5.47962666666667,0.0810382069674901,0.0147954846586222,0.640666666666667,0.157884142011953,0.0288255686840986,26.2109933333333,0.887034387209399,0.161949581052453
"48","NRSNSI",2019-04-16,35.2437392857143,0.0201750733494595,0.00381273048322547,NA,NA,NA,0.247332142857143,0.0109840306159182,0.00207578667163137,0.156625,0.0103469310175279,0.00195538616465138,5.41363928571429,0.0107658011102273,0.00203454517157462,0.605785714285714,0.0907696951968969,0.0171538600051517,25.6934607142857,0.129052361865929,0.024388603971626
"49","NRSNSI",2019-05-27,35.4247,0.0359412643455774,0.0065619470757763,NA,NA,NA,0.405786666666667,0.108650511315849,0.0198367786440536,0.303053333333333,0.0255210222113583,0.00465947985191711,5.13561333333333,0.0261606671502682,0.0047762625058621,0.613933333333333,0.145452666393296,0.026555902144294,22.81467,0.298144725502276,0.0544335305195942
"50","NRSNSI",2019-06-18,35.4519,0.00371177065284373,0.000677673504949395,NA,NA,NA,0.402866666666667,0.0413186301249485,0.00754371525488226,0.23675,0.0106049354157587,0.00193618744936549,5.16542,0.00326891313794781,0.000596819154726338,0.523,0.145656184688227,0.0265930593312936,23.0665233333333,0.0386828366407473,0.00706248740547488
"51","NRSNSI",2019-07-23,35.47189,0.00335028048233965,0.000611674731382238,NA,NA,NA,0.34745,0.0375402932952002,0.00685388848438037,0.25325,0.0109470433734726,0.00199864753121279,4.89589666666667,0.00764444731243821,0.00139567874422738,0.473466666666667,0.126886246458116,0.0231661531407568,20.44592,0.0750475959319978,0.0137017537261627
"52","NRSNSI",2019-08-21,35.5491233333333,0.00333628777115421,0.000609120023529931,NA,NA,NA,0.48059,0.0813491510669309,0.0148522550244178,0.28407,0.0170451560517229,0.00311200548857478,4.94662,0.00167834072411019,0.000306421691258235,0.548933333333333,0.129769007865125,0.0236924709575981,20.8448166666667,0.0228501276436988,0.00417184345077539
