Project_name,Sample,Date,Preservation,Time_local,Latitude,Longitude,Location,Volume_m3,Vessel,Gear_depth_m,Gear_mesh_um,Bathym_m,A. jugosa,O. pedimacula ,Ratabulus spp,R. mcgroutheri ,S. tuberculata ,P. bassensis ,P. caeruleopunctatus,P. endrachtensis,P. fuscus,P. grandispinis,P. richardsoni ,Other
NRS_NSI,NSI2017102321B,23/10/2017,Ethanol,11:44,-27.345,153.562,North Stradbroke,220.9290151,Scylla,21,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2017102317A,23/10/2017,Formalin,12:15,-27.3889,153.5802,North Stradbroke Ichthyo 30m,176.9048526,Scylla,17,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2017111630A,16/11/2017,Formalin,11:50,-27.345,153.562,North Stradbroke,291.4713691,Scylla,30,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSI2017111634B,16/11/2017,Ethanol,12:10,-27.345,153.562,North Stradbroke,203.3772967,Scylla,34,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSF2017111630B,16/11/2017,Formalin,12:40,-27.3889,153.5802,North Stradbroke Ichthyo 30m,233.6315185,Scylla,30,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2017121922A,19/12/2017,Formalin,12:05,-27.345,153.562,North Stradbroke,241.3933124,Scylla,22,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSI2017121926B,19/12/2017,Ethanol,12:25,-27.345,153.562,North Stradbroke,199.9462484,Scylla,26,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2017121921B,19/12/2017,Formalin,12:56,-27.3889,153.5802,North Stradbroke Ichthyo 30m,273.5079249,Scylla,21,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2018012316A,23/01/2018,Formalin,11:20,-27.345,153.562,North Stradbroke,263.5960074,Scylla,16,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSI2018012318B,23/01/2018,Ethanol,11:34,-27.345,153.562,North Stradbroke,264.6481956,Scylla,18,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2018012317B,23/01/2018,Formalin,12:01,-27.3889,153.5802,North Stradbroke Ichthyo 30m,259.2347637,Scylla,17,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI20180302A,2/03/2018,Formalin,11:32,-27.345,153.562,North Stradbroke,270.6563425,Scylla,,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI20180302B,2/03/2018,Ethanol,11:50,-27.345,153.562,North Stradbroke,270.6105951,Scylla,,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF20180302B,2/03/2018,Formalin,12:21,-27.3889,153.5802,North Stradbroke Ichthyo 30m,252.5556563,Scylla,,Ring-500,30,3,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2018032026,20/03/2018,Formalin,11:50,-27.345,153.562,North Stradbroke,363.630128,Scylla,26,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2018032019,20/03/2018,Formalin,12:30,-27.3889,153.5802,North Stradbroke Ichthyo 30m,187.2742431,Scylla,19,Ring-500,30,1,0,0,0,0,0,0,1,0,0,0,0
NRS_NSI,NSI2018041735,17/04/2018,Formalin,11:22,-27.345,153.562,North Stradbroke,340.6497287,Scylla,35,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2018041729,17/04/2018,Formalin,12:02,-27.3889,153.5802,North Stradbroke Ichthyo 30m,202.4166032,Scylla,29,Ring-500,30,15,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2018053042,30/05/2018,Formalin,11:26,-27.345,153.562,North Stradbroke,373.7860311,Scylla,42,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2018053031,30/05/2018,Formalin,12:14,-27.3889,153.5802,North Stradbroke Ichthyo 30m,154.6564102,Scylla,31,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2018071834,18/07/2018,Formalin,11:30,-27.345,153.562,North Stradbroke,334.5805854,Scylla,34,Ring-500,60,3,0,0,0,0,0,0,1,0,1,0,0
NRS_NSI,NSF2018071835,18/07/2018,Formalin,12:13,-27.3889,153.5802,North Stradbroke Ichthyo 30m,125.0883981,Scylla,35,Ring-500,30,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2018081727,17/08/2018,Formalin,11:17,-27.345,153.562,North Stradbroke,346.6273773,Scylla,27,Ring-500,60,0,0,0,0,0,0,0,0,0,6,0,0
NRS_NSI,NSF2018081728,17/08/2018,Formalin,11:53,-27.3889,153.5802,North Stradbroke Ichthyo 30m,165.9102488,Scylla,28,Ring-500,30,0,0,0,0,0,0,0,0,0,1,0,0
NRS_NSI,NSF2018091331,13/09/2018,Formalin,11:53,-27.3889,153.5802,North Stradbroke Ichthyo 30m,153.009507,Scylla,31,Ring-500,30,3,0,0,0,0,0,0,2,0,9,0,0
NRS_NSI,NSI2018091331,13/09/2018,Formalin,11:53,-27.345,153.562,North Stradbroke,332.1559779,Scylla,31,Ring-500,60,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2018102327,23/10/2018,Formalin,11:40,-27.345,153.562,North Stradbroke,428.5303136,Scylla,27,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2018102329,23/10/2018,Formalin,12:20,-27.3889,153.5802,North Stradbroke Ichthyo 30m,180.0766662,Scylla,29,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2018111529,15/11/2018,Formalin,12:06,-27.345,153.562,North Stradbroke,294.9786629,Scylla,29,Ring-500,60,2,0,0,0,0,0,0,2,0,0,0,0
NRS_NSI,NSF2018111530,15/11/2018,Formalin,12:43,-27.3889,153.5802,North Stradbroke Ichthyo 30m,149.8376934,Scylla,30,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI20190118,18/01/2019,Formalin,12:10,-27.345,153.562,North Stradbroke,323.2809995,Scylla,,Ring-500,60,1,0,1,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF20190118,18/01/2019,Formalin,12:50,-27.3889,153.5802,North Stradbroke Ichthyo 30m,173.8245336,Scylla,,Ring-500,30,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2019032231,22/03/2019,Formalin,12:05,-27.345,153.562,North Stradbroke,367.6406423,Scylla,31,Ring-500,60,54,0,0,0,0,0,0,12,0,0,0,0
NRS_NSI,NSF2019032231,22/03/2019,Formalin,12:49,-27.3889,153.5802,North Stradbroke Ichthyo 30m,168.7465821,Scylla,31,Ring-500,30,5,0,0,0,4,0,0,0,0,0,0,0
NRS_NSI,NSI2019041637,16/04/2019,Formalin,11:46,-27.345,153.562,North Stradbroke,263.3981384,Scylla,37,Bongo-500,60,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2019041637,16/04/2019,Ethanol,11:46,-27.345,153.562,North Stradbroke,263.3981384,Scylla,37,Bongo-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2019041634,16/04/2019,Formalin,12:25,-27.3889,153.5802,North Stradbroke Ichthyo 30m,236.591797,Scylla,34,Bongo-500,30,0,0,0,0,0,0,0,1,0,0,0,0
NRS_NSI,NSF2019041634,16/04/2019,Ethanol,12:25,-27.3889,153.5802,North Stradbroke Ichthyo 30m,236.591797,Scylla,34,Bongo-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2019052725,27/05/2019,Formalin,11:42,-27.345,153.562,North Stradbroke,347.281928,Scylla,25,Bongo-500,60,0,0,1,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2019052725,27/05/2019,Ethanol,11:42,-27.345,153.562,North Stradbroke,347.281928,Scylla,25,Bongo-500,60,1,0,1,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2019052728,27/05/2019,Formalin,12:17,-27.3889,153.5802,North Stradbroke Ichthyo 30m,368.146501,Scylla,28,Bongo-500,30,1,0,0,0,0,0,0,1,0,9,0,0
NRS_NSI,NSF2019052728,27/05/2019,Ethanol,12:17,-27.3889,153.5802,North Stradbroke Ichthyo 30m,368.146501,Scylla,28,Bongo-500,30,0,1,0,0,0,0,0,0,0,2,0,0
NRS_NSI,NSI2019061844,18/06/2019,Formalin,11:17,-27.345,153.562,North Stradbroke,226.5622135,Scylla,44,Bongo-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2019061844,18/06/2019,Ethanol,11:17,-27.345,153.562,North Stradbroke,226.5622135,Scylla,44,Bongo-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2019061833,18/06/2019,Formalin,12:00,-27.3889,153.5802,North Stradbroke Ichthyo 30m,206.1535306,Scylla,33,Bongo-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2019061833,18/06/2019,Ethanol,12:00,-27.3889,153.5802,North Stradbroke Ichthyo 30m,206.1535306,Scylla,33,Bongo-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2019072324,23/07/2019,Formalin,11:44,-27.345,153.562,North Stradbroke,359.5149806,Scylla,24,Bongo-500,60,1,0,0,0,0,0,0,11,0,3,0,0
NRS_NSI,NSI2019072324,23/07/2019,Ethanol,11:44,-27.345,153.562,North Stradbroke,359.5149806,Scylla,24,Bongo-500,60,3,0,0,0,0,0,0,12,0,5,0,0
NRS_NSI,NSF2019072330,23/07/2019,Formalin,12:30,-27.3889,153.5802,North Stradbroke Ichthyo 30m,379.8020927,Scylla,30,Bongo-500,30,1,0,0,0,0,0,0,8,0,2,0,0
NRS_NSI,NSF2019072330,23/07/2019,Ethanol,12:30,-27.3889,153.5802,North Stradbroke Ichthyo 30m,379.8020927,Scylla,30,Bongo-500,30,5,0,0,0,0,0,0,6,0,6,0,0
NRS_NSI,NSI2019082130,21/08/2019,Formalin,12:00,-27.345,153.562,North Stradbroke,325.6271453,Scylla,30,Bongo-500,60,0,0,0,0,0,0,0,1,0,0,0,0
NRS_NSI,NSI2019082130,21/08/2019,Ethanol,12:00,-27.345,153.562,North Stradbroke,325.6271453,Scylla,30,Bongo-500,60,0,0,0,0,0,0,0,0,0,0,0,0
